tool_name,tool_url,article_title,article_location,article_year,article_doi,number_of_citations (google 2022),brazilian_qualis_cc,jcr_2016_2020,article_abstract
GlobPlot,http://globplot.embl.de/,GlobPlot: exploring protein sequences for globularity and disorder,Nucleic Acids Research,2003,https://doi.org/10.1093/nar/gkg519,1150,B2,15542,"A major challenge in the proteomics and structural genomics era is to predict protein structure and function, including identification of those proteins that are partially or wholly unstructured. Non-globular sequence segments often contain short linear peptide motifs (e.g. SH3-binding sites) which are important for protein function. We present here a new tool for discovery of such unstructured, or disordered regions within proteins. GlobPlot (http://globplot.embl.de) is a web service that allows the user to plot the tendency within the query protein for order/globularity and disorder. We show examples with known proteins where it successfully identifies inter-domain segments containing linear motifs, and also apparently ordered regions that do not contain any recognised domain. GlobPlot may be useful in domain hunting efforts. The plots indicate that instances of known domains may often contain additional N- or C-terminal segments that appear ordered. Thus GlobPlot may be of use in the design of constructs corresponding to globular proteins, as needed for many biochemical studies, particularly structural biology. GlobPlot has a pipeline interface—GlobPipe—for the advanced user to do whole proteome analysis. GlobPlot can also be used as a generic infrastructure package for graphical displaying of any possible propensity."
GREMET,http://kedip.med.auth.gr/biotools/gremet/,GREMET: An integrative tool for the prediction of mutation effects on gene regulation,Computer Methods and Programs in Biomedicine,2013,https://doi.org/10.1016/j.cmpb.2013.04.002,2,A2,5034,"The identification of thousands of mutations yearly has put new challenges to researchers who are interested in fast and effective annotation as well as the prediction of potential implications to the gene regulation mechanisms. This work presents an integrative tool, called GREMET, for the prediction of alterations in gene splicing regulation inferred by mutations of the human genome. GREMET supports the characterization of mutations either single-point or indels with respect to their effect on the splicing potential of the neighboring sequences and the binding strength of auxiliary cis-acting splicing enhancers. In addition, GREMET identifies possible consequences of mutations on the DNA methylation through the disruption or creation of CpG sequences. Besides locus-specific mutations, GREMET performs the analyses on newly identified mutations and provides an easy-to-use Web interface helping researchers to save time in routine mutation analyses. GREMET is freely accessible at: http://kedip.med.auth.gr/biotools/gremet/."
GRIN database,http://lmc.uab.es/grindb,GRIN database: A unified and manually curated repertoire of GRIN variants,Human Mutation,2020,https://doi.org/10.1002/humu.24141,8,B2,5805,"Glutamatergic neurotransmission is crucial for brain development, wiring neuronal function, and synaptic plasticity mechanisms. Recent genetic studies showed the existence of autosomal dominant de novo GRIN gene variants associated with GRIN-related disorders (GRDs), a rare pediatric neurological disorder caused by N-methyl- d-aspartate receptor (NMDAR) dysfunction. Notwithstanding, GRIN variants identification is exponentially growing and their clinical, genetic, and functional annotations remain highly fragmented, representing a bottleneck in GRD patient's stratification. To shorten the gap between GRIN variant identification and patient stratification, we present the GRIN database (GRINdb), a publicly available, nonredundant, updated, and curated database gathering all available genetic, functional, and clinical data from more than 4000 GRIN variants. The manually curated GRINdb outputs on a web server, allowing query and retrieval of reported GRIN variants, and thus representing a fast and reliable bioinformatics resource for molecular clinical advice. Furthermore, the comprehensive mapping of GRIN variants' genetic and clinical information along NMDAR structure revealed important differences in GRIN variants' pathogenicity and clinical phenotypes, shedding light on GRIN-specific fingerprints. Overall, the GRINdb and web server is a resource for molecular stratification of GRIN variants, delivering clinical and investigational insights into GRDs. GRINdb is accessible at http://lmc.uab.es/grindb."
Hansa,http://hansa.cdfd.org.in:8080/,Hansa: An automated method for discriminating disease and neutral human nsSNPs,Human Mutation,2012,https://doi.org/10.1002/humu.21642,58,B2,5805,"Variations are mostly due to nonsynonymous single nucleotide polymorphisms (nsSNPs), some of which are associated with certain diseases. Phenotypic effects of a large number of nsSNPs have not been characterized. Although several methods have been developed to predict the effects of nsSNPs as “disease” or “neutral,” there is still a need for development of methods with improved prediction accuracies. We, therefore, developed a support vector machine (SVM) based method named Hansa which uses a novel set of discriminatory features to classify nsSNPs into disease (pathogenic) and benign (neutral) types. Validation studies on a benchmark dataset and further on an independent dataset of well-characterized known disease and neutral mutations show that Hansa outperforms the other known methods. For example, fivefold cross-validation studies using the benchmark HumVar dataset reveal that at the false positive rate (FPR) of 20% Hansa yields a true positive rate (TPR) of 82% that is about 10% higher than the best-known method. Hansa is available in the form of a web server at http://hansa.cdfd.org.in:8080. Hum Mutat 33:332–337, 2012. © 2011 Wiley Periodicals, Inc."
HiPathia,http://hipathia.babelomics.org/,High throughput estimation of functional cell activities reveals disease mechanisms and predicts relevant clinical outcomes,Oncotarget,2017,https://dx.doi.org/10.18632%2Foncotarget.14107,57,B2,5312,"Understanding the aspects of the cell functionality that account for disease or drug action mechanisms is a main challenge for precision medicine. Here we propose a new method that models cell signaling using biological knowledge on signal transduction. The method recodes individual gene expression values (and/or gene mutations) into accurate measurements of changes in the activity of signaling circuits, which ultimately constitute high-throughput estimations of cell functionalities caused by gene activity within the pathway. Moreover, such estimations can be obtained either at cohort-level, in case/control comparisons, or personalized for individual patients. The accuracy of the method is demonstrated in an extensive analysis involving 5640 patients from 12 different cancer types. Circuit activity measurements not only have a high diagnostic value but also can be related to relevant disease outcomes such as survival, and can be used to assess therapeutic interventions."
HotSpot Wizard 2.0,http://loschmidt.chemi.muni.cz/hotspotwizard,HotSpot Wizard 2.0: automated design of site-specific mutations and smart libraries in protein engineering,Nucleic Acids Research,2016,https://doi.org/10.1093/nar/gkw416,77,B2,15542,"HotSpot Wizard 2.0 is a web server for automated identification of hot spots and design of smart libraries for engineering proteins’ stability, catalytic activity, substrate specificity and enantioselectivity. The server integrates sequence, structural and evolutionary information obtained from 3 databases and 20 computational tools. Users are guided through the processes of selecting hot spots using four different protein engineering strategies and optimizing the resulting library's size by narrowing down a set of substitutions at individual randomized positions. The only required input is a query protein structure. The results of the calculations are mapped onto the protein's structure and visualized with a JSmol applet. HotSpot Wizard lists annotated residues suitable for mutagenesis and can automatically design appropriate codons for each implemented strategy. Overall, HotSpot Wizard provides comprehensive annotations of protein structures and assists protein engineers with the rational design of site-specific mutations and focused libraries. It is freely available at http://loschmidt.chemi.muni.cz/hotspotwizard."
HotSpot3D,http://niulab.scgrid.cn/HotSpot3D/,HotSpot3D web server: an integrated resource for mutation analysis in protein 3D structures,Bioinformatics,2020,https://doi.org/10.1093/bioinformatics/btaa258,4,A1,8470,"Motivation
HotSpot3D is a widely used software for identifying mutation hotspots on the 3D structures of proteins. To further assist users, we developed a new HotSpot3D web server to make this software more versatile, convenient and interactive.
Results
The HotSpot3D web server performs data pre-processing, clustering, visualization and log-viewing on one stop. Users can interactively explore each cluster and easily re-visualize the mutational clusters within browsers. We also provide a database that allows users to search and visualize proximal mutations from 33 cancers in the Cancer Genome Atlas.
Availability and implementation
http://niulab.scgrid.cn/HotSpot3D/.
Supplementary information
Supplementary data are available at Bioinformatics online."
HPO,http://www.human-phenotype-ontology.org/,The Human Phenotype Ontology project: linking molecular biology and disease through phenotype data,Nucleic Acids Research,2014,https://doi.org/10.1093/nar/gkt1026,817,B2,15542,"The Human Phenotype Ontology (HPO) project, available at http://www.human-phenotype-ontology.org, provides a structured, comprehensive and well-defined set of 10,088 classes (terms) describing human phenotypic abnormalities and 13,326 subclass relations between the HPO classes. In addition we have developed logical definitions for 46% of all HPO classes using terms from ontologies for anatomy, cell types, function, embryology, pathology and other domains. This allows interoperability with several resources, especially those containing phenotype information on model organisms such as mouse and zebrafish. Here we describe the updated HPO database, which provides annotations of 7,278 human hereditary syndromes listed in OMIM, Orphanet and DECIPHER to classes of the HPO. Various meta-attributes such as frequency, references and negations are associated with each annotation. Several large-scale projects worldwide utilize the HPO for describing phenotype information in their datasets. We have therefore generated equivalence mappings to other phenotype vocabularies such as LDDB, Orphanet, MedDRA, UMLS and phenoDB, allowing integration of existing datasets and interoperability with multiple biomedical resources. We have created various ways to access the HPO database content using flat files, a MySQL database, and Web-based tools. All data and documentation on the HPO project can be found online."
I-COMS,http://i-coms.leloir.org.ar/,I-COMS: Interprotein-COrrelated Mutations Server,Nucleic Acids Research,2015,https://doi.org/10.1093/nar/gkv572,26,B2,15542,"Interprotein contact prediction using multiple sequence alignments (MSAs) is a useful approach to help detect protein–protein interfaces. Different computational methods have been developed in recent years as an approximation to solve this problem. However, as there are discrepancies in the results provided by them, there is still no consensus on which is the best performing methodology. To address this problem, I-COMS (interprotein COrrelated Mutations Server) is presented. I-COMS allows to estimate covariation between residues of different proteins by four different covariation methods. It provides a graphical and interactive output that helps compare results obtained using different methods. I-COMS automatically builds the required MSA for the calculation and produces a rich visualization of either intraprotein and/or interprotein covariating positions in a circos representation. Furthermore, comparison between any two methods is available as well as the overlap between any or all four methodologies. In addition, as a complementary source of information, a matrix visualization of the corresponding scores is made available and the density plot distribution of the inter, intra and inter+intra scores are calculated. Finally, all the results can be downloaded (including MSAs, scores and graphics) for comparison and visualization and/or for further analysis."
I-Mutant2.0,http://gpcr.biocomp.unibo.it/cgi/predictors/I-Mutant2.0/I-Mutant2.0.cgi,I-Mutant2.0: predicting stability changes upon mutation from the protein sequence or structure,Nucleic Acids Research,2005,https://doi.org/10.1093/nar/gki375,1438,B2,15542,"I-Mutant2.0 is a support vector machine (SVM)-based tool for the automatic prediction of protein stability changes upon single point mutations. I-Mutant2.0 predictions are performed starting either from the protein structure or, more importantly, from the protein sequence. This latter task, to the best of our knowledge, is exploited for the first time. The method was trained and tested on a data set derived from ProTherm, which is presently the most comprehensive available database of thermodynamic experimental data of free energy changes of protein stability upon mutation under different conditions. I-Mutant2.0 can be used both as a classifier for predicting the sign of the protein stability change upon mutation and as a regression estimator for predicting the related ΔΔ G values. Acting as a classifier, I-Mutant2.0 correctly predicts (with a cross-validation procedure) 80% or 77% of the data set, depending on the usage of structural or sequence information, respectively. When predicting ΔΔ G values associated with mutations, the correlation of predicted with expected/experimental values is 0.71 (with a standard error of 1.30 kcal/mol) and 0.62 (with a standard error of 1.45 kcal/mol) when structural or sequence information are respectively adopted. Our web interface allows the selection of a predictive mode that depends on the availability of the protein structure and/or sequence. In this latter case, the web server requires only pasting of a protein sequence in a raw format. We therefore introduce I-Mutant2.0 as a unique and valuable helper for protein design, even when the protein structure is not yet known with atomic resolution. Availability: http://gpcr.biocomp.unibo.it/cgi/predictors/I-Mutant2.0/I-Mutant2.0.cgi ."
InCa,http://inca.icr.ac.uk/,Deriving a Mutation Index of Carcinogenicity Using Protein Structure and Protein Interfaces,PLOS ONE,2014,https://doi.org/10.1371/journal.pone.0084598,24,B2,3788,"With the advent of Next Generation Sequencing the identification of mutations in the genomes of healthy and diseased tissues has become commonplace. While much progress has been made to elucidate the aetiology of disease processes in cancer, the contributions to disease that many individual mutations make remain to be characterised and their downstream consequences on cancer phenotypes remain to be understood. Missense mutations commonly occur in cancers and their consequences remain challenging to predict. However, this knowledge is becoming more vital, for both assessing disease progression and for stratifying drug treatment regimes. Coupled with structural data, comprehensive genomic databases of mutations such as the 1000 Genomes project and COSMIC give an opportunity to investigate general principles of how cancer mutations disrupt proteins and their interactions at the molecular and network level. We describe a comprehensive comparison of cancer and neutral missense mutations; by combining features derived from structural and interface properties we have developed a carcinogenicity predictor, InCa (Index of Carcinogenicity). Upon comparison with other methods, we observe that InCa can predict mutations that might not be detected by other methods. We also discuss general limitations shared by all predictors that attempt to predict driver mutations and discuss how this could impact high-throughput predictions. A web interface to a server implementation is publicly available at http://inca.icr.ac.uk/."
INPS-MD,http://inpsmd.biocomp.unibo.it/,INPS-MD: a web server to predict stability of protein variants from sequence and structure,Bioinformatics,2016,https://doi.org/10.1093/bioinformatics/btw192,103,A1,8470,"Motivation: Protein function depends on its structural stability. The effects of single point variations on protein stability can elucidate the molecular mechanisms of human diseases and help in developing new drugs. Recently, we introduced INPS, a method suited to predict the effect of variations on protein stability from protein sequence and whose performance is competitive with the available state-of-the-art tools.
Results: In this article, we describe INPS-MD (Impact of Non synonymous variations on Protein Stability-Multi-Dimension), a web server for the prediction of protein stability changes upon single point variation from protein sequence and/or structure. Here, we complement INPS with a new predictor (INPS3D) that exploits features derived from protein 3D structure. INPS3D scores with Pearson’s correlation to experimental ΔΔG values of 0.58 in cross validation and of 0.72 on a blind test set. The sequence-based INPS scores slightly lower than the structure-based INPS3D and both on the same blind test sets well compare with the state-of-the-art methods.
Availability and Implementation: INPS and INPS3D are available at the same web server: http://inpsmd.biocomp.unibo.it.
Supplementary information: Supplementary data are available at Bioinformatics online.
Contact:  gigi@biocomp.unibo.it"
iPTREE-STAB,http://bioinformatics.myweb.hinet.net/iptree.htm,iPTREE-STAB: interpretable decision tree based method for predicting protein stability changes upon mutations,Bioinformatics,2007,https://doi.org/10.1093/bioinformatics/btm100,152,A1,8470,"Summary: We have developed a web server, iPTREE-STAB for discriminating the stability of proteins (stabilizing or destabilizing) and predicting their stability changes (ΔΔG) upon single amino acid substitutions from amino acid sequence. The discrimination and prediction are mainly based on decision tree coupled with adaptive boosting algorithm, and classification and regression tree, respectively, using three neighboring residues of the mutant site along N- and C-terminals. Our method showed an accuracy of 82% for discriminating the stabilizing and destabilizing mutants, and a correlation of 0.70 for predicting protein stability changes upon mutations.
Availability:  http://bioinformatics.myweb.hinet.net/iptree.htm
Contact:  michael-gromiha@aist.go.jp
Supplementary information: Dataset and other details are given."
iRDP,http://irdp.ncl.res.in/,Engineering Proteins for Thermostability with iRDP Web Server,PLOS ONE,2015,https://doi.org/10.1371/journal.pone.0139486,21,B2,3788,"Engineering protein molecules with desired structure and biological functions has been an elusive goal. Development of industrially viable proteins with improved properties such as stability, catalytic activity and altered specificity by modifying the structure of an existing protein has widely been targeted through rational protein engineering. Although a range of factors contributing to thermal stability have been identified and widely researched, the in silico implementation of these as strategies directed towards enhancement of protein stability has not yet been explored extensively. A wide range of structural analysis tools is currently available for in silico protein engineering. However these tools concentrate on only a limited number of factors or individual protein structures, resulting in cumbersome and time-consuming analysis. The iRDP web server presented here provides a unified platform comprising of iCAPS, iStability and iMutants modules. Each module addresses different facets of effective rational engineering of proteins aiming towards enhanced stability. While iCAPS aids in selection of target protein based on factors contributing to structural stability, iStability uniquely offers in silico implementation of known thermostabilization strategies in proteins for identification and stability prediction of potential stabilizing mutation sites. iMutants aims to assess mutants based on changes in local interaction network and degree of residue conservation at the mutation sites. Each module was validated using an extensively diverse dataset. The server is freely accessible at http://irdp.ncl.res.in and has no login requirements."
iSEE,https://github.com/haddocking/iSee,"iSEE: Interface structure, evolution, and energy-based machine learning predictor of binding affinity changes upon mutations",PROTEINS,2019,https://doi.org/10.1002/prot.25630,41,B3,2752,"Quantitative evaluation of binding affinity changes upon mutations is crucial for protein engineering and drug design. Machine learning-based methods are gaining increasing momentum in this field. Due to the limited number of experimental data, using a small number of sensitive predictive features is vital to the generalization and robustness of such machine learning methods. Here we introduce a fast and reliable predictor of binding affinity changes upon single point mutation, based on a random forest approach. Our method, iSEE, uses a limited number of interface Structure, Evolution, and Energy-based features for the prediction. iSEE achieves, using only 31 features, a high prediction performance with a Pearson correlation coefficient (PCC) of 0.80 and a root mean square error of 1.41 kcal/mol on a diverse training dataset consisting of 1102 mutations in 57 protein-protein complexes. It competes with existing state-of-the-art methods on two blind test datasets. Predictions for a new dataset of 487 mutations in 56 protein complexes from the recently published SKEMPI 2.0 database reveals that none of the current methods perform well (PCC < 0.42), although their combination does improve the predictions. Feature analysis for iSEE underlines the significance of evolutionary conservations for quantitative prediction of mutation effects. As an application example, we perform a full mutation scanning of the interface residues in the MDM2–p53 complex."
iStable,http://predictor.nchu.edu.tw/iStable,iStable: off-the-shelf predictor integration for predicting protein stability changes,BMC Bioinformatics,2013,https://doi.org/10.1186/1471-2105-14-S2-S5,175,A1,3629,"Background
Mutation of a single amino acid residue can cause changes in a protein, which could then lead to a loss of protein function. Predicting the protein stability changes can provide several possible candidates for the novel protein designing. Although many prediction tools are available, the conflicting prediction results from different tools could cause confusion to users.
Results
We proposed an integrated predictor, iStable, with grid computing architecture constructed by using sequence information and prediction results from different element predictors. In the learning model, several machine learning methods were evaluated and adopted the support vector machine as an integrator, while not just choosing the majority answer given by element predictors. Furthermore, the role of the sequence information played was analyzed in our model, and an 11-window size was determined. On the other hand, iStable is available with two different input types: structural and sequential. After training and cross-validation, iStable has better performance than all of the element predictors on several datasets. Under different classifications and conditions for validation, this study has also shown better overall performance in different types of secondary structures, relative solvent accessibility circumstances, protein memberships in different superfamilies, and experimental conditions.
Conclusions
The trained and validated version of iStable provides an accurate approach for prediction of protein stability changes. iStable is freely available online at: http://predictor.nchu.edu.tw/iStable."
KD4v,http://decrypthon.igbmc.fr/kd4v,KD4v: comprehensible knowledge discovery system for missense variant,Nucleic Acids Research,2012,https://doi.org/10.1093/nar/gks474,38,B2,15542,"A major challenge in the post-genomic era is a better understanding of how human genetic alterations involved in disease affect the gene products. The KD4v (Comprehensible Knowledge Discovery System for Missense Variant) server allows to characterize and predict the phenotypic effects (deleterious/neutral) of missense variants. The server provides a set of rules learned by Induction Logic Programming (ILP) on a set of missense variants described by conservation, physico-chemical, functional and 3D structure predicates. These rules are interpretable by non-expert humans and are used to accurately predict the deleterious/neutral status of an unknown mutation. The web server is available at http://decrypthon.igbmc.fr/kd4v."
LIST-S2,https://list-s2.msl.ubc.ca/,LIST-S2: taxonomy based sorting of deleterious missense mutations across species,Nucleic Acids Research,2020,https://doi.org/10.1093/nar/gkaa288,19,B2,15542,"The separation of deleterious from benign mutations remains a key challenge in the interpretation of genomic data. Computational methods used to sort mutations based on their potential deleteriousness rely largely on conservation measures derived from sequence alignments. Here, we introduce LIST-S2, a successor to our previously developed approach LIST, which aims to exploit local sequence identity and taxonomy distances in quantifying the conservation of human protein sequences. Unlike its predecessor, LIST-S2 is not limited to human sequences but can assess conservation and make predictions for sequences from any organism. Moreover, we provide a web-tool and downloadable software to compute and visualize the deleteriousness of mutations in user-provided sequences. This web-tool contains an HTML interface and a RESTful API to submit and manage sequences as well as a browsable set of precomputed predictions for a large number of UniProtKB protein sequences of common taxa. LIST-S2 is available at: https://list-s2.msl.ubc.ca/"
LS-SNP,http://www.salilab.org/LS-SNP,LS-SNP: large-scale annotation of coding non-synonymous SNPs based on multiple information sources,Bioinformatics,2005,https://doi.org/10.1093/bioinformatics/bti442,263,A1,8470,"Motivation: The NCBI dbSNP database lists over 9 million single nucleotide polymorphisms (SNPs) in the human genome, but currently contains limited annotation information. SNPs that result in amino acid residue changes (nsSNPs) are of critical importance in variation between individuals, including disease and drug sensitivity.
Results: We have developed LS-SNP, a genomic scale software pipeline to annotate nsSNPs. LS-SNP comprehensively maps nsSNPs onto protein sequences, functional pathways and comparative protein structure models, and predicts positions where nsSNPs destabilize proteins, interfere with the formation of domain–domain interfaces, have an effect on protein–ligand binding or severely impact human health. It currently annotates 28 043 validated SNPs that produce amino acid residue substitutions in human proteins from the SwissProt/TrEMBL database. Annotations can be viewed via a web interface either in the context of a genomic region or by selecting sets of SNPs, genes, proteins or pathways. These results are useful for identifying candidate functional SNPs within a gene, haplotype or pathway and in probing molecular mechanisms responsible for functional impacts of nsSNPs.
Availability:  http://www.salilab.org/LS-SNP
Contact:  rachelk@salilab.org
Supplementary information:  http://salilab.org/LS-SNP/supp-info.pdf"
M2SG,http://prodata.swmed.edu/M2S/mut2seq.cgi,M2SG: mapping human disease-related genetic variants to protein sequences and genomic loci,Bioinformatics,2013,https://doi.org/10.1093/bioinformatics/btt507,1,A1,8470,"Summary: Online Mendelian Inheritance in Man (OMIM) is a manually curated compendium of human genetic variants and the corresponding phenotypes, mostly human diseases. Instead of directly documenting the native sequences for gene entries, OMIM links its entries to protein and DNA sequences in other databases. However, because of the existence of gene isoforms and errors in OMIM records, mapping a specific OMIM mutation to its corresponding protein sequence is not trivial. Combining computer programs and extensive manual curation of OMIM full-text descriptions and original literature, we mapped 98% of OMIM amino acid substitutions (AASs) and all SwissProt Variant (SwissVar) disease-related AASs to reference sequences and confidently mapped 99.96% of all AASs to the genomic loci. Based on the results, we developed an online database and interactive web server (M2SG) to (i) retrieve the mapped OMIM and SwissVar variants for a given protein sequence; and (ii) obtain related proteins and mutations for an input disease phenotype. This database will be useful for analyzing sequences, understanding the effect of mutations, identifying important genetic variations and designing experiments on a protein of interest.
Availability and implementation: The database and web server are freely available at http://prodata.swmed.edu/M2S/mut2seq.cgi.
Contact:  grishin@chop.swmed.edu
Supplementary information:  Supplementary data are available at Bioinformatics online."
MACE,http://mace.sookmyung.ac.kr/,MACE: mutation-oriented profiling of chemical response and gene expression in cancers,Bioinformatics,2015,https://doi.org/10.1093/bioinformatics/btu835,4,A1,8470,"Summary: The mutational status of specific cancer lineages can affect the sensitivity to or resistance against cancer drugs. The MACE database provides web-based interactive tools for interpreting large chemical screening and gene expression datasets of cancer cell lines in terms of mutation and lineage categories. GI50 data of chemicals against individual NCI60 cell lines were normalized and organized to statistically identify mutation- or lineage-specific chemical responses. Similarly, DNA microarray data on NCI60 cell lines were processed to analyze mutation- or lineage-specific gene expression signatures. A combined analysis of GI50 and gene expression data to find potential associations between chemicals and genes is also a capability of this system. This database will provide extensive, systematic information to identify lineage- or mutation-specific anticancer agents and related gene targets.
Availability and implementation: The MACE web database is available at http://mace.sookmyung.ac.kr/.
Supplementary information: Supplementary data are available at Bioinformatics online.
Contact:  yoonsj@sookmyung.ac.kr"
MAESTRO,http://biwww.che.sbg.ac.at/MAESTRO,MAESTRO - multi agent stability prediction upon point mutations,BMC Bioinformatics,2015,https://doi.org/10.1186/s12859-015-0548-6,175,A1,3629,"Background
Point mutations can have a strong impact on protein stability. A change in stability may subsequently lead to dysfunction and finally cause diseases. Moreover, protein engineering approaches aim to deliberately modify protein properties, where stability is a major constraint. In order to support basic research and protein design tasks, several computational tools for predicting the change in stability upon mutations have been developed. Comparative studies have shown the usefulness but also limitations of such programs.
Results
We aim to contribute a novel method for predicting changes in stability upon point mutation in proteins called MAESTRO. MAESTRO is structure based and distinguishes itself from similar approaches in the following points: (i) MAESTRO implements a multi-agent machine learning system. (ii) It also provides predicted free energy change (Δ ΔG) values and a corresponding prediction confidence estimation. (iii) It provides high throughput scanning for multi-point mutations where sites and types of mutation can be comprehensively controlled. (iv) Finally, the software provides a specific mode for the prediction of stabilizing disulfide bonds. The predictive power of MAESTRO for single point mutations and stabilizing disulfide bonds is comparable to similar methods.
Conclusions
MAESTRO is a versatile tool in the field of stability change prediction upon point mutations. Executables for the Linux and Windows operating systems are freely available to non-commercial users from http://biwww.che.sbg.ac.at/MAESTRO."
MAESTROweb,https://biwww.che.sbg.ac.at/maestro/web,MAESTROweb: a web server for structure-based protein stability prediction,Bioinformatics,2016,https://doi.org/10.1093/bioinformatics/btv769,78,A1,8470,"Summary: The prediction of change in stability upon point mutations in proteins has many applications in protein analysis and engineering. We recently adjoined a new structure-based method called MAESTRO, which is distributed as command line program. We now provide access to the most important features of MAESTRO by an easy to use web service. MAESTROweb allows the prediction of change in stability for user-defined mutations, provides a scan functionality for the most (de)stabilizing n-point mutations for a maximum of n = 5, creates mutation sensitivity profiles and evaluates potential disulfide bonds. MAESTROweb operates on monomers, multimers and biological assemblies as defined by PDB.
Availability and implementation: MAESTROweb is freely available for non-commercial use at https://biwww.che.sbg.ac.at/maestro/web.
Contact:  peter.lackner@sbg.ac.at"
mCSM,http://structure.bioc.cam.ac.uk/mcsm,mCSM: predicting the effects of mutations in proteins using graph-based signatures,Bioinformatics,2014,https://doi.org/10.1093/bioinformatics/btt691,630,A1,8470,"Motivation: Mutations play fundamental roles in evolution by introducing diversity into genomes. Missense mutations in structural genes may become either selectively advantageous or disadvantageous to the organism by affecting protein stability and/or interfering with interactions between partners. Thus, the ability to predict the impact of mutations on protein stability and interactions is of significant value, particularly in understanding the effects of Mendelian and somatic mutations on the progression of disease. Here, we propose a novel approach to the study of missense mutations, called mCSM, which relies on graph-based signatures. These encode distance patterns between atoms and are used to represent the protein residue environment and to train predictive models. To understand the roles of mutations in disease, we have evaluated their impacts not only on protein stability but also on protein–protein and protein–nucleic acid interactions.
Results: We show that mCSM performs as well as or better than other methods that are used widely. The mCSM signatures were successfully used in different tasks demonstrating that the impact of a mutation can be correlated with the atomic-distance patterns surrounding an amino acid residue. We showed that mCSM can predict stability changes of a wide range of mutations occurring in the tumour suppressor protein p53, demonstrating the applicability of the proposed method in a challenging disease scenario.
Availability and implementation: A web server is available at http://structure.bioc.cam.ac.uk/mcsm.
Contact:  dpires@dcc.ufmg.br; tom@cryst.bioc.cam.ac.uk
Supplementary information:  Supplementary data are available at Bioinformatics online."
mCSM-lig,http://structure.bioc.cam.ac.uk/mcsm_lig,mCSM-lig: quantifying the effects of mutations on protein-small molecule affinity in genetic disease and emergence of drug resistance,Scientific Reports,2016,https://doi.org/10.1038/srep29575,100,A1,5134,"The ability to predict how a mutation affects ligand binding is an essential step in understanding, anticipating and improving the design of new treatments for drug resistance and in understanding genetic diseases. Here we present mCSM-lig, a structure-guided computational approach for quantifying the effects of single-point missense mutations on affinities of small molecules for proteins. mCSM-lig uses graph-based signatures to represent the wild-type environment of mutations and small-molecule chemical features and changes in protein stability as evidence to train a predictive model using a representative set of protein-ligand complexes from the Platinum database. We show our method provides a very good correlation with experimental data (up to ρ = 0.67) and is effective in predicting a range of chemotherapeutic, antiviral and antibiotic resistance mutations, providing useful insights for genotypic screening and to guide drug development. mCSM-lig also provides insights into understanding Mendelian disease mutations and as a tool for guiding protein design. mCSM-lig is freely available as a web server at http://structure.bioc.cam.ac.uk/mcsm_lig."
mCSM-membrane,http://biosig.unimelb.edu.au/mcsm_membrane,mCSM-membrane: predicting the effects of mutations on transmembrane proteins,Nucleic Acids Research,2020,https://doi.org/10.1093/nar/gkaa416,22,B2,15542,"Significant efforts have been invested into understanding and predicting the molecular consequences of mutations in protein coding regions, however nearly all approaches have been developed using globular, soluble proteins. These methods have been shown to poorly translate to studying the effects of mutations in membrane proteins. To fill this gap, here we report, mCSM-membrane, a user-friendly web server that can be used to analyse the impacts of mutations on membrane protein stability and the likelihood of them being disease associated. mCSM-membrane derives from our well-established mutation modelling approach that uses graph-based signatures to model protein geometry and physicochemical properties for supervised learning. Our stability predictor achieved correlations of up to 0.72 and 0.67 (on cross validation and blind tests, respectively), while our pathogenicity predictor achieved a Matthew's Correlation Coefficient (MCC) of up to 0.77 and 0.73, outperforming previously described methods in both predicting changes in stability and in identifying pathogenic variants. mCSM-membrane will be an invaluable and dedicated resource for investigating the effects of single-point mutations on membrane proteins through a freely available, user friendly web server at http://biosig.unimelb.edu.au/mcsm_membrane."
mCSM-PPI2,http://biosig.unimelb.edu.au/mcsm_ppi2/,mCSM-PPI2: predicting the effects of mutations on protein–protein interactions,Nucleic Acids Research,2019,https://doi.org/10.1093/nar/gkz383,143,B2,15542,"Protein–protein Interactions are involved in most fundamental biological processes, with disease causing mutations enriched at their interfaces. Here we present mCSM-PPI2, a novel machine learning computational tool designed to more accurately predict the effects of missense mutations on protein–protein interaction binding affinity. mCSM-PPI2 uses graph-based structural signatures to model effects of variations on the inter-residue interaction network, evolutionary information, complex network metrics and energetic terms to generate an optimised predictor. We demonstrate that our method outperforms previous methods, ranking first among 26 others on CAPRI blind tests. mCSM-PPI2 is freely available as a user friendly webserver at http://biosig.unimelb.edu.au/mcsm_ppi2/."
